snippet,intent
ast.get_docstring(node),"Return the docstring of the given `node` ( which must be a FunctionDef , AsyncFunctionDef , ClassDef , or Module node ) , or None if it has no docstring ."
tarfile.TarFile(encoding=ENCODING),All following arguments are optional and can be accessed as instance attributes as well . The `encoding` and errors arguments define the character encoding to be used for reading or writing the archive and how conversion errors are going to be handled .
"warnings.filterwarnings(action, category=Warning)","Insert an entry into the list of warnings filter specifications . With arguments `action`, `category`."
tempfile.NamedTemporaryFile(delete=True),"This function operates exactly as TemporaryFile ( ) does , except that the file is guaranteed to have a visible name in the file system ( on Unix , the directory entry is not unlinked ) . If `delete` is true ( the default ) , the file is deleted as soon as it is closed ."
"turtle.onclick(fun, add=None)",Bind `fun` to mouse-click events on this turtle . With arguments `add`.
"bz2.open(filename, mode='r', newline=None)","Open a bzip2-compressed file in binary or text `mode` , returning a file object . As with the constructor for BZ2File , the `filename` argument can be an actual filename ( a str or bytes object ) , or an existing file object to read from or write to . In this case , the `encoding` , `errors` and `newline` arguments must not be provided ."
datetime.__str__(),"For a datetime instance d , str ( d ) is equivalent to d.isoformat ( ' ' ) ."
"text_calendar.formatyear(theyear, w=2)","Return a m-column calendar for an entire year as a multi-line string . Optional parameters `w` , `l` , and `c` are for date column width , lines per week , and number of spaces between month columns , respectively . With arguments `theyear`."
str.expandtabs(tabsize=8),"Return a copy of the string where all tab characters are replaced by one or more spaces , depending on the current column and the given tab size . Tab positions occur every `tabsize` characters ( default is 8 , giving tab positions at columns 0 , 8 , 16 and so on ) ."
"argparse.FileType(mode='r', bufsize=-1)","The FileType factory creates objects that can be passed to the type argument of ArgumentParser.add_argument ( ) . With arguments `mode`, `bufsize`."
"sorted(iterable, key=None, reverse=False)","Return a new sorted list from the items in `iterable` . `key` specifies a function of one argument that is used to extract a comparison key from each element in iterable ( for example , key=str.lower ) . `reverse` is a boolean value ."
"bisect.bisect_left(a, x, hi=len(a))",Locate the insertion point for `x` in `a` to maintain sorted order . The parameters `lo` and `hi` may be used to specify a subset of the list which should be considered ; by default the entire list is used .
wsgiref.util.guess_scheme(environ),"Return a guess for whether wsgi.url_scheme should be “ http ” or “ https ” , by checking for a HTTPS environment variable in the `environ` dictionary ."
"mailcap.findmatch(caps, key='view')","Return a 2-tuple ; the first element is a string containing the command line to be executed ( which can be passed to os.system ( ) ) , and the second element is the mailcap entry for a given MIME type . `key` is the name of the field desired , which represents the type of activity to be performed ; the default value is ‘ view ’ , since in the most common case you simply want to view the body of the MIME-typed data . With arguments `caps`."
"int(x, base=10)","Return an integer object constructed from a number or string `x` , or return 0 if no arguments are given . If x is not a number or if `base` is given , then x must be a string , bytes , or bytearray instance representing an integer literal in radix base ."
"xml.etree.ElementInclude.default_loader(href, parse)",Default loader . `href` is a URL . `parse` is for parse mode either “ xml ” or “ text ” .
fileinput.input(inplace=False),Create an instance of the FileInput class . With arguments `inplace`.
"msilib.RadioButtonGroup(dlg, name, property)",Create a radio button control named `name` . `property` is the installer property that gets set when a radio button is selected . With arguments `dlg`.
"test_case.assertAlmostEqual(first, second, delta=None)","Test that `first` and `second` are approximately ( or not approximately ) equal by computing the difference , rounding to the given number of decimal `places` ( default 7 ) , and comparing to zero . If `delta` is supplied instead of places then the difference between first and second must be less or equal to ( or greater than ) delta ."
webbrowser.get(using=None),Return a controller object for the browser type `using` .
locals(),Update and return a dictionary representing the current local symbol table .
"print(*objects, sep=' ')","Print objects to the text stream `file` , separated by `sep` and followed by `end` . With arguments `*objects`."
"logging.handlers.TimedRotatingFileHandler(filename, when='h', interval=1)",Returns a new instance of the TimedRotatingFileHandler class . On rotating it also sets the `filename` suffix . Rotating happens based on the product of `when` and `interval` .
"urllib.parse.urlencode(query, doseq=False, safe='')","Convert a mapping object or a sequence of two-element tuples , which may contain str or bytes objects , to a percent-encoded ASCII text string . When a sequence of two-element tuples is used as the `query` argument , the first element of each tuple is a key and the second is a value . The value element in itself can be a sequence and in that case , if the optional parameter `doseq` is evaluates to True , individual key=value pairs separated by ' & ' are generated for each element of the value sequence for the key . For maximum control of what is quoted , use quote and specify a value for `safe` ."
ftplib.FTP(passwd=''),"Return a new instance of the FTP class . When `user` is given , additionally the method call login ( user , `passwd` , `acct` ) is made ( where passwd and acct default to the empty string when not given ) ."
